Company Name,CodePostal,Location,Phone,Email,Website,UrlPage
MECA WIRE,40230,"20, Rue de l'entreprise 40230 SAINT VINCENT DE TYROSSE",06 03 75 29 99,contact@mecawire.com,http://www.mecawire.com,https://www.sous-traiter.com/annuaire/societe-meca-wire-40230-saint-vincent-de-tyrosse-13760.html
MECA-CN,62630,Route de Camiers 62630 WIDEHEM,03 21 84 25 11,meca.cn@wanadoo.fr,http://www.sous-traiter.com/meca-cn62,https://www.sous-traiter.com/annuaire/societe-meca-cn-62630-widehem-3894.html
MECA3,54400,83 rue du Béarn 54400 COSNES-ET-ROMAIN,03 82 24 04 71,meca354400@orange.fr,none,https://www.sous-traiter.com/annuaire/societe-meca3-54400-cosnes-et-romain-13500.html
MECA3F,37320,ZA Route de Tours 37320 Saint Branchs,02 47 40 08 00,jamal.azzaoui@meca3f.com,http://www.meca3f.com,https://www.sous-traiter.com/annuaire/societe-meca3f-37320-saint-branchs-12714.html
MECAFORM,81300,"4, Boulevard Georges Ravari 81300 GRAULHET",05 63 34 40 22,contact@mecaform.com,http://www.mecaform.com,https://www.sous-traiter.com/annuaire/societe-mecaform-81300-graulhet-6806.html
MECAGE,59198,"18 bis, Rue Pierre Brossolette 59198 HASPRES",03 27 25 66 16,spetit@mecage.fr,http://www.mecage-mecanique.fr,https://www.sous-traiter.com/annuaire/societe-mecage-59198-haspres-7233.html
MECALANDES,40390,"ZA du Seignanx AMBROISE 3
3093 Route de Northon 40390 SAINT-MARTIN DE SEIGNANX",05 59 45 37 67,contact@mecalandes.com,http://www.mecalandes.com,https://www.sous-traiter.com/annuaire/societe-mecalandes-40390-saint-martin-de-seignanx-5319.html
MECANIQUE DE PRECISION PINAUD FRERES,09300,"10, Rue Anatole France 09300 LAVELANET",05 61 03 04 63 ,mecaniquedeprecision.pinaud@sfr.fr,http://www.sous-traiter.com/mecaniquedeprecision-pinaud,https://www.sous-traiter.com/annuaire/societe-mecanique-de-precision-pinaud-freres-09300-lavelanet-13851.html
MECANIQUE DE SOLOGNE,41200,"23 bis, Rue de la Roche 41200 ROMORANTIN-LANTHENAY",02 54 76 56 29,contact@mecaniquedesologne.fr,http://www.mecanique-de-sologne.com,https://www.sous-traiter.com/annuaire/societe-mecanique-de-sologne-41200-romorantin-lanthenay-9257.html
MECANIQUE KP,52200,"508, Avenue Neufchâteau 52200 LANGRES",09 83 55 52 75,parisot.mkp@bbox.fr,http://www.mecanique-kp.fr,https://www.sous-traiter.com/annuaire/societe-mecanique-kp-52200-langres-13853.html
MECANIQUE MOYROUD,26120,ZA Les Petits Champs 26120 MONTELIER,04 75 59 91 11,amblard@moyroud.com,http://www.moyroud.com,https://www.sous-traiter.com/annuaire/societe-mecanique-moyroud-26120-montelier-2499.html
MECANUMERIC 53,53950,"8, Rue Claude Chappe
Parc d'Activités de l'Océane 53950 LOUVERNÉ",02 43 01 13 59,contact@mecanumeric53.com,http://www.mecanumeric53.com,https://www.sous-traiter.com/annuaire/societe-mecanumeric-53-53950-louverne-8081.html
MECAPOLE MCP3A,12510,"11, Rue Saint Jacques de Compostelle 12510 OLEMPS",05 65 42 66 03,administratif.mecapole@orange.fr,http://www.mecapole-aeronautique.com,https://www.sous-traiter.com/annuaire/societe-mecapole-mcp3a-12510-olemps-13807.html
MECAREG,52100,"ZA du pré moinot
Rue des Clefmonts 52100 SAINT DIZIER",03 25 05 38 38,dufosse.n@mecareg.fr,http://www.mecareg-regulage-palier.fr,https://www.sous-traiter.com/annuaire/societe-mecareg-52100-saint-dizier-13581.html
MECARESO,53300,"Plateforme industrielle
Route de Cigné 53300 AMBRIERES LES VALLEES",02 30 30 01 25,contact@mecareso.eu,http://www.mecareso.com,https://www.sous-traiter.com/annuaire/societe-mecareso-53300-ambrieres-les-vallees-12431.html
MECARIOM,63200,ZAC de Layat Cap Nord 63200 RIOM,04 73 63 01 36,mecariom.pellet63@gmail.com,http://www.sous-traiter.com/mecariom,https://www.sous-traiter.com/annuaire/societe-mecariom-63200-riom-8458.html
MECASERVICE,34190,"ZI Les Broues 
Rue de Cezas 34190 GANGES",04 67 73 82 83,admecaservice@free.fr,http://www.mecaservice34.fr,https://www.sous-traiter.com/annuaire/societe-mecaservice-34190-ganges-11781.html
MECATEP,24120,"Rue Eugène Leroy
CET 24120 TERRASSON LAVILLEDIEU",05 53 51 01 01 - 06 50 84 79 15,contact@mecatep.fr,http://www.sous-traiter.com/mecatep,https://www.sous-traiter.com/annuaire/societe-mecatep-24120-terrasson-lavilledieu-12885.html
MECAUV,63360,"1, Rue François Arago
ZI Sud 63360 GERZAT",04 73 25 36 00,mecauv@mecauv.fr,http://www.mecauv.fr,https://www.sous-traiter.com/annuaire/societe-mecauv-63360-gerzat-6466.html
MECAVOSGES,88150,"ZI Inova 3000
10, Rue de l'Avenir 88150 THAON-LES-VOSGES",03 29 39 25 61,meca.vosges@wanadoo.fr,http://www.mecavosges.com,https://www.sous-traiter.com/annuaire/societe-mecavosges-88150-thaon-les-vosges-11440.html
MEDICATECHNOLOGIE,35131,28 rue Village de la Métairie 35131 CHARTRES DE BRETAGNE,02 99 77 14 53,medica@troimeca.fr,http://www.medicatechnologie.com,https://www.sous-traiter.com/annuaire/societe-medicatechnologie-35131-chartres-de-bretagne-12046.html
META INDUSTRIE,19360,"40, Avenue de l'Industrie 19360 MALEMORT",05 55 87 42 27,contact@meta-industrie.com,http://www.meta-industrie.com,https://www.sous-traiter.com/annuaire/societe-meta-industrie-19360-malemort-13833.html
METALLIC SYSTEMS,25170,"3, Rue de Lavernay 25170 PLACEY",06 30 31 39 67,metallic-systems@orange.fr,http://www.metallicsystems-25.com/,https://www.sous-traiter.com/annuaire/societe-metallic-systems-25170-placey-13706.html
MGB BERNAD,65460,ZI Ouest 65460 BAZET,05 62 33 39 12,mgb-bernad@wanadoo.fr,http://www.mecanique-precision-65.com,https://www.sous-traiter.com/annuaire/societe-mgb-bernad-65460-bazet-13843.html
MGF GRIMALDI,38346,"156, rue Emile Romanet – Centr’Alp
CS 70055 38346 VOREPPE CEDEX",04 76 56 69 77,devis@mgf-grimaldi.com,http://www.mgf-grimaldi.com,https://www.sous-traiter.com/annuaire/societe-mgf-grimaldi-38346-voreppe-cedex-3178.html
MGI,14520,"Impasse des Goelands
BP 21 14520 PORT EN BESSIN",02 31 21 82 80,mgisas@wanadoo.fr,http://www.mgi-sa.fr,https://www.sous-traiter.com/annuaire/societe-mgi-14520-port-en-bessin-13786.html
MGS (Mécanique Générale Saint Jean),01090,"97, Rue de l’industrie
ZA Visionis 01090 GUEREINS",04 74 66 45 15,mgs.usinage@gmail.com,none,https://www.sous-traiter.com/annuaire/societe-mgs--mecanique-generale-saint-jean--01090-guereins-11627.html
MH INDUSTRIES,21160,"8, Rue Jean Moulin 21160 COUCHEY",0565324503,contact@fmhgroup.eu,http://www.mh-industries.fr,https://www.sous-traiter.com/annuaire/societe-mh-industries-21160-couchey-13830.html
MHB (Mécanique et Hydraulique du Brivet),44160,ZA La Harrois 44160 BESNE,02 40 17 33 17,info@mhb44.com,http://www.mhb44.com,https://www.sous-traiter.com/annuaire/societe-mhb--mecanique-et-hydraulique-du-brivet--44160-besne-3681.html
MICRO 2000,71190,Route de Saint-Didier ZI 71190 Etang sur Arroux,03 85 82 30 45,micro2000.joguin@orange.fr,http://www.micro-2000.com,https://www.sous-traiter.com/annuaire/societe-micro-2000-71190-etang-sur-arroux-9377.html
MICROEROSION,25300,"32, Rue Denis Papin 25300 PONTARLIER",03 81 46 21 07,contact@microerosion.com,http://www.microerosion.com,https://www.sous-traiter.com/annuaire/societe-microerosion-25300-pontarlier-13790.html
MICROJET,67850,"9, Rue Alfred Kastler
ZI du Ried 67850 HERRLISHEIM",03 88 59 75 15,info@microjet.fr,http://www.microjet.fr,https://www.sous-traiter.com/annuaire/societe-microjet-67850-herrlisheim-3556.html
MILMECA,31270,"56, Route de Portet 31270 VILLENEUVE TOLOSANE",05 31 47 32 57,contact@milmeca.fr,http://www.milmeca.fr/,https://www.sous-traiter.com/annuaire/societe-milmeca-31270-villeneuve-tolosane-13508.html
Company Name,CodePostal,Location,Phone,Email,Website,UrlPage
MECATEP,24120,"Rue Eugène Leroy
CET 24120 TERRASSON LAVILLEDIEU",05 53 51 01 01 - 06 50 84 79 15,contact@mecatep.fr,http://www.sous-traiter.com/mecatep,https://www.sous-traiter.com/annuaire/societe-mecatep-24120-terrasson-lavilledieu-12885.html
MECAUV,63360,"1, Rue François Arago
ZI Sud 63360 GERZAT",04 73 25 36 00,mecauv@mecauv.fr,http://www.mecauv.fr,https://www.sous-traiter.com/annuaire/societe-mecauv-63360-gerzat-6466.html
MECAVOSGES,88150,"ZI Inova 3000
10, Rue de l'Avenir 88150 THAON-LES-VOSGES",03 29 39 25 61,meca.vosges@wanadoo.fr,http://www.mecavosges.com,https://www.sous-traiter.com/annuaire/societe-mecavosges-88150-thaon-les-vosges-11440.html
MEDICATECHNOLOGIE,35131,28 rue Village de la Métairie 35131 CHARTRES DE BRETAGNE,02 99 77 14 53,medica@troimeca.fr,http://www.medicatechnologie.com,https://www.sous-traiter.com/annuaire/societe-medicatechnologie-35131-chartres-de-bretagne-12046.html
META INDUSTRIE,19360,"40, Avenue de l'Industrie 19360 MALEMORT",05 55 87 42 27,contact@meta-industrie.com,http://www.meta-industrie.com,https://www.sous-traiter.com/annuaire/societe-meta-industrie-19360-malemort-13833.html
METALLIC SYSTEMS,25170,"3, Rue de Lavernay 25170 PLACEY",06 30 31 39 67,metallic-systems@orange.fr,http://www.metallicsystems-25.com/,https://www.sous-traiter.com/annuaire/societe-metallic-systems-25170-placey-13706.html
MGB BERNAD,65460,ZI Ouest 65460 BAZET,05 62 33 39 12,mgb-bernad@wanadoo.fr,http://www.mecanique-precision-65.com,https://www.sous-traiter.com/annuaire/societe-mgb-bernad-65460-bazet-13843.html
MGF GRIMALDI,38346,"156, rue Emile Romanet – Centr’Alp
CS 70055 38346 VOREPPE CEDEX",04 76 56 69 77,devis@mgf-grimaldi.com,http://www.mgf-grimaldi.com,https://www.sous-traiter.com/annuaire/societe-mgf-grimaldi-38346-voreppe-cedex-3178.html
MGI,14520,"Impasse des Goelands
BP 21 14520 PORT EN BESSIN",02 31 21 82 80,mgisas@wanadoo.fr,http://www.mgi-sa.fr,https://www.sous-traiter.com/annuaire/societe-mgi-14520-port-en-bessin-13786.html
MGS (Mécanique Générale Saint Jean),01090,"97, Rue de l’industrie
ZA Visionis 01090 GUEREINS",04 74 66 45 15,mgs.usinage@gmail.com,none,https://www.sous-traiter.com/annuaire/societe-mgs--mecanique-generale-saint-jean--01090-guereins-11627.html
MH INDUSTRIES,21160,"8, Rue Jean Moulin 21160 COUCHEY",0565324503,contact@fmhgroup.eu,http://www.mh-industries.fr,https://www.sous-traiter.com/annuaire/societe-mh-industries-21160-couchey-13830.html
MHB (Mécanique et Hydraulique du Brivet),44160,ZA La Harrois 44160 BESNE,02 40 17 33 17,info@mhb44.com,http://www.mhb44.com,https://www.sous-traiter.com/annuaire/societe-mhb--mecanique-et-hydraulique-du-brivet--44160-besne-3681.html
MICRO 2000,71190,Route de Saint-Didier ZI 71190 Etang sur Arroux,03 85 82 30 45,micro2000.joguin@orange.fr,http://www.micro-2000.com,https://www.sous-traiter.com/annuaire/societe-micro-2000-71190-etang-sur-arroux-9377.html
MICROEROSION,25300,"32, Rue Denis Papin 25300 PONTARLIER",03 81 46 21 07,contact@microerosion.com,http://www.microerosion.com,https://www.sous-traiter.com/annuaire/societe-microerosion-25300-pontarlier-13790.html
MICROJET,67850,"9, Rue Alfred Kastler
ZI du Ried 67850 HERRLISHEIM",03 88 59 75 15,info@microjet.fr,http://www.microjet.fr,https://www.sous-traiter.com/annuaire/societe-microjet-67850-herrlisheim-3556.html
MILMECA,31270,"56, Route de Portet 31270 VILLENEUVE TOLOSANE",05 31 47 32 57,contact@milmeca.fr,http://www.milmeca.fr/,https://www.sous-traiter.com/annuaire/societe-milmeca-31270-villeneuve-tolosane-13508.html
MMB (Maquettes et Modèles de la Bresle),76340,"1, Rue de la Fonderie 
BP n° 1 76340 BLANGY SUR BRESLE",02 32 97 53 20,mmb@mmbpro.com,http://www.mmbpro.com,https://www.sous-traiter.com/annuaire/societe-mmb--maquettes-et-modeles-de-la-bresle--76340-blangy-sur-bresle-10168.html
MMB (Modelage Mécanique Britsch),88380,"46 Bis, Route de Remiremont 88380 ARCHES",03 29 33 39 64,info@modelage-mecanique-britsch.fr,http://www.modelage-mecanique-britsch.fr,https://www.sous-traiter.com/annuaire/societe-mmb--modelage-mecanique-britsch--88380-arches-6057.html
MMD (La Mécanique Moderne de Douai),62950,"129, Rue Victor Hugo 62950 NOYELLES GODAULT",03 21 76 95 07,mmd@mecaniquemoderne.fr,http://www.mecaniquemoderne.fr,https://www.sous-traiter.com/annuaire/societe-mmd--la-mecanique-moderne-de-douai--62950-noyelles-godault-2384.html
MMD (Modelage Mécanique du Dauphiné),38130,15 rue de la Paix 38130 ECHIROLLES,04 76 09 08 54,mmd@mmd.fr,http://www.mmd.fr,https://www.sous-traiter.com/annuaire/societe-mmd--modelage-mecanique-du-dauphine--38130-echirolles-9164.html
MMG (Minet Mécanique Générale),69680,"7, Rue Jacques Monod 69680 CHASSIEU",+33 (0)4 78 90 37 94,contact@mmg-meca.fr,http://www.mmg-meca.fr,https://www.sous-traiter.com/annuaire/societe-mmg--minet-mecanique-generale--69680-chassieu-2829.html
MMT (Multi - Machines - Trade),27360,"Dépôt : 
1 Route des Andelys 27360 PONT ST PIERRE",02 35 87 84 35,mmt@lebaut.com,http://www.lebaut.com,https://www.sous-traiter.com/annuaire/societe-mmt--multi---machines---trade--27360-pont-st-pierre-9235.html
MONTEC,57506,"11 C, Chemin de la Cascade
BP 90211 57506 SAINT-AVOLD cedex",03 87 29 88 50,info@montec.fr,http://www.montec.fr,https://www.sous-traiter.com/annuaire/societe-montec-57506-saint-avold-cedex-13496.html
MONTELS,81300,"ZI
Rue de l’Artisanat 81300 GRAULHET",05 63 34 50 80 - 06 09 82 78 69,montels@orange.fr,http://www.etsmontels.com,https://www.sous-traiter.com/annuaire/societe-montels-81300-graulhet-6841.html
MOULIN,63306,"Pont de l’Hélion 
BP 44 63306 THIERS Cedex",04 73 80 25 06,ets.moulin@cegetel.net,http://www.sablage-metallisation-soudure.fr/,https://www.sous-traiter.com/annuaire/societe-moulin-63306-thiers-cedex-8360.html
MOUNEYRAC SARL,24120,ZAE de Guinassou 24120 LA FEUILLADE,05 55 85 18 05,contact@mouneyrac.fr,http://sarl.jpmouneyrac.free.fr,https://www.sous-traiter.com/annuaire/societe-mouneyrac-sarl-24120-la-feuillade-8354.html
MPC TECHNOLOGIES,24130,"19, Route de l'Escauderie - SIDAVAL 24130 PRIGONRIEUX",05 53 27 28 92,direction@mpc-technologies.com,http://www.mpc-technologies.com,https://www.sous-traiter.com/annuaire/societe-mpc-technologies-24130-prigonrieux-13204.html
MPL (Mécanique de Précision Lançon),01410,Route de la Combe d'en haut 01410 MIJOUX,04 50 41 31 38,serge.lancon@hotmail.fr,http://www.sous-traiter.com/mpl,https://www.sous-traiter.com/annuaire/societe-mpl--mecanique-de-precision-lancon--01410-mijoux-13582.html
MPLS,14110,Rue Guillaume le Conquérant 14110 CONDE SUR NOIREAU,02 31 09 31 37,mpls14@orange.fr,http://www.sous-traiter.com/mpls,https://www.sous-traiter.com/annuaire/societe-mpls-14110-conde-sur-noireau-13643.html
MPM (Mécanique de Précision Médocaine),33340,"13, Rue des rémouleurs
ZI de Belloc 33340 LESPARRE - MEDOC",05 56 41 29 94,contact@mpm33.fr,none,https://www.sous-traiter.com/annuaire/societe-mpm--mecanique-de-precision-medocaine--33340-lesparre---medoc-8344.html
MPRO (Mécanique de Précision Région Objat),19130,"ZI de la Gare
Avenue du Conseiller Coudert 19130 OBJAT",05 55 84 15 60,MPRO.SA@wanadoo.fr,http://www.mpro-sa.fr,https://www.sous-traiter.com/annuaire/societe-mpro--mecanique-de-precision-region-objat--19130-objat-11958.html
MSI (Méca Services Industrie),44119,"18, Chemin du Clos David 44119 TREILLIERES",06 61 37 38 10,mecaservices.msi@outlook.fr,none,https://www.sous-traiter.com/annuaire/societe-msi--meca-services-industrie--44119-treillieres-13788.html
MSP (Métallerie Soudure Pontet),01250,727 chemin des Teppes 01250 TOSSIAT,04 74 51 60 63,franck@metalleriesoudurepontet.fr,http://www.metalleriesoudurepontet.fr,https://www.sous-traiter.com/annuaire/societe-msp--metallerie-soudure-pontet--01250-tossiat-2482.html
MTB (Mécanique Tôlerie de Boissy),91790,Chemin du Procès 91790 BOISSY/SAINT-YON,01 64 91 31 60,sbrochot.mtb-direction@wanadoo.fr,http://www.m-t-b.fr,https://www.sous-traiter.com/annuaire/societe-mtb--mecanique-tolerie-de-boissy--91790-boissy-saint-yon-2659.html
MULTI-MECANIQUE DU LINKLING,57180,"ZI du Linkling II 
41, Boucle du Ferronnier 57180 TERVILLE",03 82 88 36 15,multimeca2@wanadoo.fr,http://www.multi-meca.com,https://www.sous-traiter.com/annuaire/societe-multi-mecanique-du-linkling-57180-terville-6062.html
NADAUD & ASSOCIES,87430,"3, Chemin de la Croix du Breuil 87430 VERNEUIL SUR VIENNE",05 55 00 17 19,nadaud.p@wanadoo.fr,http://www.nadaudassocies.fr,https://www.sous-traiter.com/annuaire/societe-nadaud--associes-87430-verneuil-sur-vienne-12318.html
NAVARRE DPM INDUSTRIES,27190,Zone Industrielle des Fontenelles 27190 CONCHES EN OUCHE,02 32 29 51 41,navarre.dpm@wanadoo.fr,http://www.sous-traiter.com/navarre-dpm-industries,https://www.sous-traiter.com/annuaire/societe-navarre-dpm-industries-27190-conches-en-ouche-12470.html
NEBO,93260,"20, Rue des Villegranges 93260 LES LILAS",01 43 62 88 23,nebo-mecanique@wanadoo.fr,http://www.nebo.fr,https://www.sous-traiter.com/annuaire/societe-nebo-93260-les-lilas-13632.html
NEVEU,28300,"11, Avenue de la Gare 28300 SAINT PREST",02 37 22 22 80,sa-neveu@wanadoo.fr,http://www.mecanique-precision-neveu.com,https://www.sous-traiter.com/annuaire/societe-neveu-28300-saint-prest-13780.html
NMA,13750,"Zone Industrielle du Pont
Avenue des Vergers 13750 PLAN D’ORGON",04 90 73 43 10,secretariat@nma-sa.fr,http://www.nma-sa.fr,https://www.sous-traiter.com/annuaire/societe-nma-13750-plan-dorgon-9175.html
NORD ENGRENAGES,62138,"PI Artois-Flandres
434, Boulevard Ouest  62138 DOUVRIN",03 21 79 45 60,contact@nord-engrenages.com,http://www.nord-engrenages.com,https://www.sous-traiter.com/annuaire/societe-nord-engrenages-62138-douvrin-1565.html
NORD METAL SERVICES,62910,ZAC du Muguet 62910 EPERLECQUES,03 28 43 56 77,contact@nordmetal-services.com,http://www.nordmetal-services.com,https://www.sous-traiter.com/annuaire/societe-nord-metal-services-62910-eperlecques-13732.html
NORD-LASER-TUBE,59118,"241, Rue Clément Ader
Parc d'activité du Moulin 59118 WAMBRECHIES",03 20 63 20 13,contact@nord-laser-tube.com,http://www.nord-laser-tube.com,https://www.sous-traiter.com/annuaire/societe-nord-laser-tube-59118-wambrechies-11398.html
NORMOUTILS INDUSTRIE,61330,La Carrière - La Baroche sous Lucé 61330 JUVIGNY VAL D'ANDAINE,02 33 38 15 75,contact@normoutils.fr,http://www.normoutils.fr,https://www.sous-traiter.com/annuaire/societe-normoutils-industrie-61330-juvigny-val-d-andaine-2174.html
NOWAK,55250,Route de Chaumont 55250 REMBERCOURT SOMMAISNE,03 29 70 68 39,contact@ets-nowak.fr,http://www.ets-nowak.fr,https://www.sous-traiter.com/annuaire/societe-nowak-55250-rembercourt-sommaisne-6071.html
NUMER'US,01400,"ZI NORD
52 Avenue des frères Lumière 01400 CHATILLON SUR CHALARONNE",04 74 55 70 93,accueil@numerus.fr,http://www.numerus.fr,https://www.sous-traiter.com/annuaire/societe-numer-us-01400-chatillon-sur-chalaronne-2971.html
NUMETOR,57200,"ZI Gutenberg 
8, Rue Joseph Cugnot 57200 SARREGUEMINES",03 87 09 27 66,r.lett@numetor.fr,http://www.numetor.fr,https://www.sous-traiter.com/annuaire/societe-numetor-57200-sarreguemines-12063.html
OGER,53000,"73, Boulevard Léon Bollée
ZI des Touches 53000 LAVAL",02 43 59 07 70,contact@oger-meca.com,http://www.oger-meca.com,https://www.sous-traiter.com/annuaire/societe-oger-53000-laval-2770.html
OPTIMACHINES,59910,"Z.A. Ravennes-les-Francs
43 Avenue Albert Calmette 59910 BONDUES",03 20 03 69 17,contact@optimachines.com,http://www.optimachines.com,https://www.sous-traiter.com/annuaire/societe-optimachines-59910-bondues-12958.html
ORNE CONCEPTION,61200,"10, Rue du Commerce 61200 ARGENTAN",02 33 67 13 80,orneconception@sfr.fr,http://sous-traiter.com/orne-conception,https://www.sous-traiter.com/annuaire/societe-orne-conception-61200-argentan-8350.html
